module_id	module_label	visit_week	baseline_bmi_group	n	mean_module_score	sd_module_score	median_module_score
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	0	BMI_ge_18_5	17	-0.1713298886867838	0.5119174196973143	-0.061722034515082
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	0	BMI_lt_18_5	13	-0.3284825360100312	0.6313926373608542	-0.2311540404733799
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	8	BMI_ge_18_5	17	0.1195041352125484	0.4639602239010528	0.1210927195565813
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	8	BMI_lt_18_5	13	-0.1615547520606796	0.6487726866103403	0.0852399723747751
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	17	BMI_ge_18_5	17	0.2545552298206451	0.3664634937547621	0.2231129773980406
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	17	BMI_lt_18_5	13	-0.0094231815639071	0.7172115306065637	-0.043481175944881
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	26	BMI_ge_18_5	17	0.1176948236646711	0.5087500925855272	0.0347298423785479
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	26	BMI_lt_18_5	13	-0.0269487772969963	0.548002117507154	-0.0132875267004842
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	52	BMI_ge_18_5	17	0.1582803606153319	0.4584513384200269	0.1161258332947891
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	52	BMI_lt_18_5	13	0.0019571319133444	0.6899122063287253	0.0308732835823767
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	0	BMI_ge_18_5	17	0.0789709623762652	0.4187550765982529	0.1234030494256511
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	0	BMI_lt_18_5	13	0.1130037226357564	0.3764256994010618	0.0667297367499215
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	8	BMI_ge_18_5	17	-0.0065037782125704	0.4257491197260525	-0.0428660645867971
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	8	BMI_lt_18_5	13	0.0503833191868426	0.3117195337856193	0.0186379490242896
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	17	BMI_ge_18_5	17	-0.0245111787211586	0.4499810662915692	0.0477926553073133
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	17	BMI_lt_18_5	13	-0.016319203228763	0.2784148742215339	0.0237172574255009
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	26	BMI_ge_18_5	17	-0.0638918438755223	0.4709954122078277	0.0707014202103153
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	26	BMI_lt_18_5	13	-0.0798011204667627	0.3792506632901354	-0.003212975494369
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	52	BMI_ge_18_5	17	-0.0564978428502177	0.4589935548338888	-0.0515886202840619
