module_id	module_label	model	n_observations	n_patients	term	estimate	std_error	p_value	model_status	q_value_BH_global
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	-0.13728479375710645	0.10432253919554814	0.18818584350379086	fit_ok	0.8705194817897756
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	-0.025568891664857072	0.07968428177202995	0.7483032393307192	fit_ok	0.9467809222427467
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.17]:bmi_lt_18_5	0.1206208781708866	0.10707939653212432	0.2599699887519583	fit_ok	0.8705194817897756
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	0.1320529846511039	0.10115659220505177	0.19174601609088127	fit_ok	0.8705194817897756
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	0.027740904937923343	0.09301399964913828	0.7655166330856867	fit_ok	0.9467809222427467
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	0.15413949561889276	0.11562949757756026	0.18251654859725963	fit_ok	0.8705194817897756
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	-0.23240394314312768	0.20162218174049598	0.249045649898753	fit_ok	0.8705194817897756
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.17]:bmi_lt_18_5	-0.18935504984156185	0.21629305532264162	0.3813258490914698	fit_ok	0.8705194817897756
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	-0.3123002692511226	0.2591748443321382	0.2282113724255529	fit_ok	0.8705194817897756
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	-0.2624804794706114	0.24914019942871593	0.29209115626259785	fit_ok	0.8705194817897756
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	-0.1623558363290324	0.20379067296979947	0.42563723582962854	fit_ok	0.8705194817897756
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	0.2233907734211207	0.14434577516805333	0.12171654224218857	fit_ok	0.8705194817897756
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.17]:bmi_lt_18_5	0.08141534073887632	0.10423298538373697	0.43474957323189944	fit_ok	0.8705194817897756
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	0.07284358232723905	0.12353132140483959	0.5554071998695008	fit_ok	0.8984528233183101
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	0.22162817186900546	0.15566903789203465	0.15452931050780275	fit_ok	0.8705194817897756
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	0.010929168227676542	0.11120263943993894	0.9217087249338657	fit_ok	0.9868234744946474
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	-0.0007265004151253349	0.1510063704668956	0.9961613458645125	fit_ok	0.9961613458645125
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.17]:bmi_lt_18_5	-0.20283305794539905	0.13103973937029403	0.12165253926587179	fit_ok	0.8705194817897756
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	-0.10117821595814577	0.15148670480389753	0.5041963915095301	fit_ok	0.8733138636777421
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	-0.052850617705681786	0.17289527428052562	0.7598483454361452	fit_ok	0.9467809222427467
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	-0.11533035060234346	0.14349544137322415	0.42155791806097376	fit_ok	0.8705194817897756
