module_id	module_label	visit_week	baseline_bmi_group	n	mean_delta_from_week0	sd_delta_from_week0	one_sample_t_p_vs_zero	one_sample_t_q_BH_global
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	26	BMI_ge_18_5	17	-0.2563945063095421	0.4044736320137716	0.0188126625154769	0.0444662932184
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	26	BMI_ge_18_5	17	-0.1428628062517876	0.2960426150392671	0.0639957695082406	0.1109260004809504
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	26	BMI_ge_18_5	17	-0.1058880591671252	0.1856144093702009	0.0318019563812028	0.0648510483067665
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	26	BMI_ge_18_5	17	-0.0948410874217176	0.3640702344318662	0.2987197457710228	0.3413939951668832
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	26	BMI_ge_18_5	17	0.2086721378088178	0.2827579502541225	0.0077545071457064	0.0264328254243979
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	26	BMI_ge_18_5	17	0.2791480187035975	0.5855410212989512	0.066943663970018	0.1141334598833094
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	26	BMI_ge_18_5	17	0.289024712351455	0.4745871486042363	0.0231566493139618	0.0535175895256006
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	26	BMI_ge_18_5	17	0.4276616521804576	0.4548436187349102	0.0013378560772745	0.010480366817259
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	26	BMI_ge_18_5	17	0.4708063991831518	0.4677324171083833	0.0007530132581625	0.0089397965451669
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	26	BMI_ge_18_5	17	0.4748734765418034	0.5674744159796243	0.0032915285237986	0.0167139629565698
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	26	BMI_ge_18_5	17	0.4835468389090739	0.9712968940719154	0.0568387921047423	0.103705866296372
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	26	BMI_lt_18_5	13	-0.6014670933348005	0.6851562364299031	0.0081426552798737	0.0264328254243979
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	26	BMI_lt_18_5	13	-0.2598397698512555	0.3620986723462641	0.0237749527507547	0.0537520670886628
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	26	BMI_lt_18_5	13	-0.1928048431025192	0.1685709086923845	0.0014108186100156	0.010480366817259
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	26	BMI_lt_18_5	13	-0.1663122963102125	0.340718117465806	0.1038579925127784	0.1588416356077788
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	26	BMI_lt_18_5	13	-0.0472100365458183	0.1773935220412787	0.3562164636476319	0.4026794806451491
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	26	BMI_lt_18_5	13	-0.0203754362119658	0.3588479508935226	0.8412193316168916	0.8457525593953564
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	26	BMI_lt_18_5	13	0.1030270585603455	0.2925960137864576	0.2283087676490338	0.2895623394573111
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	26	BMI_lt_18_5	13	0.2593230889029957	0.7899435572923108	0.2594761863063578	0.3101784296076001
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	26	BMI_lt_18_5	13	0.2742731313275652	0.4511043459248282	0.0488159613001806	0.092306545003978
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	26	BMI_lt_18_5	13	0.3015337587130349	0.2909981259505819	0.0028421629894988	0.016421386161549
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	26	BMI_lt_18_5	13	0.3079070574210787	0.3542362048042896	0.0086275936427016	0.0264328254243979
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	26	BMI_lt_18_5	13	0.366410538841789	0.3356906509217944	0.0019789031776236	0.0137053927289297
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	26	BMI_lt_18_5	13	0.432086327841282	0.3489892576188047	0.0007736362394856	0.0089397965451669
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	52	BMI_ge_18_5	17	-0.299215317324089	0.3922000539779405	0.0062529303103079	0.0240853611952601
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	52	BMI_ge_18_5	17	-0.2845303532011539	0.707607946515453	0.116809369377488	0.1687246446563716
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	52	BMI_ge_18_5	17	-0.2764104163977515	0.4185944554686902	0.0150576992840533	0.0381951396473549
